year,id,serial_number,title,submission_type,primary_category,secondary_category,confidence,reasoning,abstract
2023,554191,71,Helping Support Reproducibility in Research: An introduction to Containers for RSEs,Workshop,Software,N/A,High,Workshop on Docker and Singularity/Apptainer containers - cross-cutting tools for reproducibility applicable across research domains.,"Containers provide a way to wrap up a piece of software along with its dependencies and configuration in a portable “unit” known as an image or container image. Container-like technologies have been routinely used to support deployment of software in an enterprise environment for a long time and are now gaining significant traction in the research software community due to advantages in ease of deployment, portability, shareability and reproducibility. This workshop will introduce the concepts behind two widely used container platforms - Docker and Singularity/Apptainer. It will demonstrate, with practical examples that attendees can follow along with, how to containerise software using these tools and discuss why you may need to use different containerisation technologies in different contexts. This will lead on to building more complex containers, how to interact with them, and how to run them on both local and remote compute facilities – including containerising parallel software for use on HPC facilities. Finally, we will discuss how containers can enable reproducibility in a research setting - both in terms of software and data."
2023,554193,72,Designing machine learning experiments using SLURM within a Cloud Trusted Research Environment,Poster & Lightning Talk,Software,Research,Medium,"This talk is about using SLURM/HPC within Trusted Research Environments for ML experiments. While motivated by healthcare data, the focus is on general infrastructure patterns (SLURM, cloud HPC, batch processing) applicable across TRE users, making it cross-cutting software/infrastructure guidance.","Trusted Research Environments (TRE) are secure platforms which enable researchers to access and analyse personal data within the ‘Five Safes’ framework. TREs have been in use for many years to enable the safe use of sensitive data in research yet are not fully capable of supporting researcher needs including big data and high computational demands for machine learning (ML) workloads. Researchers are increasingly applying a range of machine learning (ML) algorithms on de-identified personal datasets derived from healthcare (for example: electronic health records, routinely collected medical scans and diagnosis information). TREs are looking to deploy on-demand high-performance computing (HPC) environments using third-party cloud computing providers that enable batch processing pipelines such as SLURM (Simple Linux Utility for Resource Management). Slurm is a open source, scalable scheduling tool for HPC environments which can be used to launch and monitor jobs on assigned nodes. This ‘on-demand’ approach allows for cost optimisation of the TRE resources in comparison to the ‘always on’ physical computing environment. Also, each researcher can be provisioned their own HPC environment, providing full data and network isolation from other projects, and able to grow dynamically depending on compute requirements.
This poster discusses how ML experiments can be freshly designed (or retrofitted) using SLURM within restrictive TRE platform. It provides examples of optimised approaches to implement the different steps of a standard ML experiment using batch processing whilst using secure, shared data storage. It will highlight how the training runtimes can be drastically reduced by adopting some of these measures."
2023,554210,74,Benchmarking for the exascale,Talk,Software,Community,High,"This is about a general-purpose benchmarking framework for HPC systems, cross-cutting across domains, with a community-of-practice element.","Benchmarking has always been a crucial activity for HPC. Being able to systematically assess the performance of important algorithms on different HPC machines is needed for planning the next steps in algorithm development, evaluating available and upcoming hardware technologies, and procuring new HPC systems with confidence. The benchmarking process though has been somewhat of a dark art, usually involving convoluted, machine-dependent scripts and configurations that only the few can run, re-run, and reproduce their results. The situation is only becoming worse with the advent of the quest for exascale, with the available hardware technologies becoming more heterogeneous.
We will present how our project, which is part of the ExCALIBUR program, is set to address the problem of automation and reproducibility in benchmarking by creating an Open Source, user-friendly, automated framework based on Spack and ReFrame, for building and running benchmarks and collecting and visualising their results. This framework includes a still-growing suite of benchmark codes, as well as configurations to run them on popular HPC systems. It will also facilitate performance portability studies of codes across those different platforms. 
As part of this project, we also aim to create a community of practice for benchmarking, which spans across ExCALIBUR, DiRAC, and other HPC developers and providers in the UK. We will show how we are making benchmarking straightforward for all by advertising our work in various fora, mailing lists and events, running training workshops, and inviting and collaborating with application and benchmark developers to add their benchmarks to our suite."
2023,551861,54,Shaping the Landscape: The Emerging Research Software Engineering Community in Asia,Poster & Lightning Talk,Community,N/A,High,"This talk is about building and growing the RSE community in Asia, including community management roles and cross-regional collaboration — clearly about people and the profession.","Over the past year (2022), there has been a significant evolution in the research software engineering (RSEng) community in Asia. Notably, the successful organisation of the first-ever online unconference that brought together the RSEng communities in Asia and Australia, fostering collaboration and knowledge exchange. The establishment of a formal Community Manager position for Asia at the Research Software Alliance has also been a crucial step in advancing the RSEng community's growth and influence in Asia. As part of my own efforts to promote the RSEng community in Asia, I have been advocating for greater recognition of RSEng at relevant platforms such as the Asia Pacific Advanced Network. Through such initiatives, I hope to continue expanding the RSEng community's reach and impact, enabling greater collaboration and innovation, and encouraging individuals or groups who are interested in growing a RSEng community in their respective regions, institutions, or organisations."
2023,554286,77,The Journal of Open Source Software,Poster & Lightning Talk,Community,N/A,High,"JOSS is a profession-wide platform for recognising RSE contributions to research software, focused on careers/recognition rather than a specific tool or domain.","The Journal of Open Source Software (JOSS; https://joss.theoj.org) publishes short articles describing open source research software. The review process, however, is open, iterative and includes the software itself, thereby encouraging good software practice. It has also published articles co-authored by RSEs and is potentially an interesting avenue through which to recognise RSE contributions to research software in formal research literature. The poster aims to improve RSE's awareness of JOSS for their research software projects and encourage them to engage with platforms like JOSS as authors, reviewers or even editors."
2023,554309,79,Experiences from teaching basic RSE skills with CodeRefinery,Talk,Community,Software,High,"This is about teaching RSE skills and training methodology through CodeRefinery, focused on profession-wide training initiatives and community education.","CodeRefinery is a project funded by Nordic e-infrastructure collaboration (NeiC) supporting students and researchers across all research fields by teaching FAIR research software and development and basic Research Software Engineering practices. The initiative has successfully held interactive hands-on online and free workshops for over 300 registrants at a time. The workshops combine livestream, co-teaching, parallelized and threaded questions and answers as well as parallel connected in-person events. Switching from the traditional online teaching strategy required adjusting to alternative technologies and mindset. This contribution aims at sharing our current teaching strategy as well as our lessons learned from developing our workshop style and open lesson materials over the years."
2023,553847,64,Trusted Research Environments: Stakeholder-centered design for the future of working with sensitive data,Workshop,Software,Community,Medium,"This workshop centers on Trusted Research Environments as cross-cutting infrastructure for working with sensitive data, applicable across multiple domains. It focuses on the Data Safe Haven tool while also engaging stakeholder/community concerns.","Research with sensitive data is critical for progress in domains including healthcare, education and economics. There is global acknowledgement of the need for such research to take place, but also the importance of keeping any sensitive data as secure as possible.
Research teams have made progress on this issue through the advent of Trusted Research Environments (TREs) — computing environments designed to keep sensitive data secure. 
These environments not only need to be safe; they also need to be productive for research and trusted by all stakeholders, including:

Data subjects, whose data is being analysed inside a TRE

Researchers, who are working with sensitive data inside a TRE

Project leads/managers, who are ultimately responsible for ensuring research is carried out safely, responsibly and productively
This workshop will be an open space for participants to explore how best to provide safe and productive TREs for all stakeholders. After introducing participants to TREs, and the Alan Turing Institute’s open-source Data Safe Haven project, we’ll split participants into discussion groups. We will explore how the different stakeholders above interact with TREs, covering questions like:

What does good look like? What does bad look like?

What would you want to know about before a TRE is used?

What concerns you about TREs?
Exploring different stakeholders interactions with TREs will provide participants with a holistic picture of the TRE landscape. Additionally, outputs from the discussion groups will shape the ongoing development of the Alan Turing Institute Data Safe Haven."
2023,554324,80,woRking in the public SEctor,Panel,Community,N/A,High,"This panel is about RSE careers and the profession across public sector organisations, focused on people and career paths rather than a specific tool or research domain.","Research Software Engineering is often associated with academic institutions, however there are a variety of RSE-type careers in other sectors of working life. In this panel session we aim to: raise awareness of different career opportunities that exist for people with RSE skill-sets in the public sector (even if the role isn’t explicitly called RSE); explore differences between organisations and how RSE-type roles operate; and highlight different challenges that may be faced when compared to more traditional RSE sectors."
2023,554325,81,Research Software Engineering in the Arts and Humanities (RSE AH) Community Interest Group of the UK-IE Digital Humanities Association,Panel,Community,N/A,High,"This is about building a community interest group for RSEs in Arts and Humanities — focused on people, profession, networking, and community formation, not a specific tool or research project.","This audience-led panel will bring together a wide range of RSEs and allies working in and around the Arts and Humanities. Join like-minded individuals in this exciting new ground-up community. You will make new contacts in this growing discipline, have the opportunity to formally join the community and take your ideas forward. Come and share your experiences, explore what it means to work in these areas, and collaboratively define where the community is going. Could this event be a catalyst for your career?

The Research Software Engineering in the Arts and Humanities (RSE AH) is a Community interest group (CIG) of the newly established UK-IE Digital Humanities Association. This CIG aims to offer a forum for the Research Software Engineering community working and collaborating in Arts and Humanities across UK and Ireland for focused discussion, expertise and knowledge exchange, action, advocacy and policy making towards the development of AH RSE capability. Read more: https://digitalhumanities-uk-ie.org/community-interest-groups/research-software-engineering/

The RSE AH Community Interest Group aims to create an inclusive, collaborative, and safe space and is open to anyone involved or interested in the Research Software Engineering community in the Arts and Humanities, broadly conceived. We welcome everyone from digital humanities researchers, software developers, full-stack, back- and front-end engineers, to UX/UI designers, analysts, product/project managers, systems administrators, infrastructure managers and anyone in technology or informational professional roles."
2023,554378,82,Standardising the Process of Disease Definitions (Phenotyping) to Share and Reuse in Epidemiological Studies,Talk,Research,Software,High,"This is about a domain-specific resource (HDR UK Phenotype Library) for epidemiology/healthcare research, with an API and R package built to support epidemiological studies. It's clearly tied to a specific research domain (healthcare/epidemiology).","Defining a disease (phenotyping) is critical in extracting a cohort of patients for epidemiological studies. Various methods ­­­— such as clinical code lists (for clinically coded data), rule-based algorithms, machine learning methods, and natural language processing techniques (which use free text data) — to define a cohort of patients from the routinely collected electronic healthcare records (EHRs) are applied. They are often shared as supplementary material to publications or on GitHub repositories. This is an inefficient system and recently separate phenotype resources have been developed worldwide to host clinical code lists and rule-based algorithms. Still, the user must download definitions for reusing them in their analysis and make changes to adopt variations in representations to scale analysis across conditions and healthcare settings. There was a need for standardised definitions and representations to support reproducibility across conditions and in different healthcare settings. Examining existing resources and user requirements, we devised desiderata for developing next-generation phenotyping resources. The results are the Health Data Research (HDR) UK Phenotype Library created by following the desiderata to make phenotype definitions FAIR (Findability, Accessibility, Interoperability and Reusability). In parallel, an open-source application programming interface (API) and client R package were developed to directly enable the use of definitions programmatically. Using standardised definitions from the phenotype library resulted in the development of an informatics tool enabling epidemiological studies for more than 100 disease conditions."
